strategy,direction,entry_time,exit_time,entry_index,exit_index,exit_reason,r_multiple,pnl_pips
trend_pullback_rsi,long,2024-03-12 08:00:00,2024-03-15 12:00:00,4069,4088,timeout,1.7883467723566266,140.20000000000016
trend_pullback_rsi,long,2024-05-03 20:00:00,2024-05-09 00:00:00,4300,4319,timeout,1.6047442425766423,273.5
trend_pullback_rsi,long,2024-05-16 12:00:00,2024-05-21 16:00:00,4352,4371,timeout,1.616076237828877,139.30000000000155
trend_pullback_rsi,long,2024-07-12 08:00:00,2024-07-12 16:00:00,4597,4599,stop,-1.0147819660014703,-102.97499999999921
trend_pullback_rsi,long,2024-07-16 00:00:00,2024-07-17 08:00:00,4607,4615,stop,-1.0136865773780306,-111.09642857142738
trend_pullback_rsi,long,2024-07-18 08:00:00,2024-07-23 12:00:00,4621,4640,timeout,-0.3579638752052371,-32.69999999999834
trend_pullback_rsi,long,2024-07-24 04:00:00,2024-07-24 04:00:00,4644,4644,stop,-1.0209958008398492,-72.94285714285843
trend_pullback_rsi,long,2024-07-25 16:00:00,2024-07-30 20:00:00,4653,4672,timeout,-0.6065737051792819,-78.30000000000007
trend_pullback_rsi,long,2024-08-01 16:00:00,2024-08-02 00:00:00,4683,4685,stop,-1.0075728890571758,-199.57500000000005
trend_pullback_rsi,long,2024-08-06 04:00:00,2024-08-09 08:00:00,4698,4717,timeout,0.9132145407039483,214.70000000000059
trend_pullback_rsi,long,2024-08-26 08:00:00,2024-08-29 12:00:00,4783,4802,timeout,1.2183773976153438,134.3000000000004
trend_pullback_rsi,short,2024-10-03 08:00:00,2024-10-04 12:00:00,4951,4958,stop,-1.0131616057158883,-115.46785714285612
trend_pullback_rsi,short,2024-10-07 04:00:00,2024-10-10 04:00:00,4962,4980,stop,-1.014704337779643,-103.51071428571423
trend_pullback_rsi,short,2024-10-10 12:00:00,2024-10-14 12:00:00,4982,4994,stop,-1.023007395234181,-66.69642857142856
trend_pullback_rsi,short,2024-10-15 00:00:00,2024-10-17 20:00:00,4997,5014,stop,-1.0266311584553887,-57.82500000000107
trend_pullback_rsi,short,2024-10-24 08:00:00,2024-10-28 00:00:00,5041,5051,stop,-1.0208924041187926,-73.2964285714288
trend_pullback_rsi,short,2024-10-28 12:00:00,2024-10-31 16:00:00,5054,5073,timeout,0.8812641871835332,72.10000000000184
trend_pullback_rsi,short,2024-11-07 00:00:00,2024-11-12 04:00:00,5099,5118,timeout,1.0450815064642967,99.59999999999957
trend_pullback_rsi,long,2024-11-28 04:00:00,2024-11-29 00:00:00,5190,5195,stop,-1.0143486727477844,-106.03928571428717
trend_pullback_rsi,long,2024-12-02 04:00:00,2024-12-02 16:00:00,5202,5205,stop,-1.0154867256637263,-98.35714285714369
trend_pullback_rsi,long,2024-12-03 20:00:00,2024-12-09 00:00:00,5212,5231,timeout,0.6686740733049353,68.99999999999841
